monthly_bill_amount,contract_length_months,service_calls_last_3_months,service_issues_last_3_months,total_services_subscribed,months_as_customer,avg_monthly_usage_gb,churn_status
131.08,24,0,1,5,71,493.1,Yes
70.03,24,1,2,4,31,302.2,No
61.18,6,3,0,2,86,454.1,No
66.05,12,1,5,3,67,333.6,No
42.24,24,2,1,5,41,139.7,No
127.78,6,0,1,4,107,352.3,No
64.03,1,2,2,4,106,385.0,Yes
91.81,1,3,0,5,79,468.3,Yes
95.21,12,0,1,5,17,306.7,No
87.8,1,2,0,1,19,301.5,Yes
20.35,24,3,1,1,3,19.1,Yes
148.48,6,2,0,2,59,119.6,No
137.69,6,1,1,2,19,406.5,No
46.99,12,4,0,1,75,31.8,Yes
58.02,6,2,0,4,20,227.5,Yes
87.6,12,0,0,5,95,447.9,No
137.25,24,2,1,5,57,121.0,No
147.87,6,0,0,1,91,242.0,No
53.48,12,0,0,3,51,154.7,No
93.37,12,1,1,5,41,151.0,Yes
124.91,1,1,4,1,23,304.8,No
71.27,6,0,2,5,91,137.3,No
115.04,12,4,1,1,60,216.3,Yes
40.94,24,1,4,5,97,286.0,No
98.09,6,1,0,5,19,462.9,No
132.56,12,1,0,5,15,322.7,No
147.86,12,0,1,3,20,329.8,Yes
30.32,12,2,0,2,108,250.3,No
75.69,12,2,1,1,119,229.5,Yes
46.59,12,1,0,4,90,397.6,No
78.58,12,0,3,3,31,190.6,No
91.21,24,0,0,3,92,462.1,No
32.13,6,0,0,3,3,108.6,Yes
58.59,24,1,0,4,18,480.0,Yes
140.59,12,2,0,2,114,345.5,No
93.97,12,0,0,5,45,251.9,No
79.46,12,2,1,2,2,369.3,No
117.96,1,0,2,2,36,424.7,No
116.44,12,1,0,1,76,296.6,No
26.32,6,2,1,4,24,429.7,No
112.13,1,0,3,5,97,188.8,No
129.1,12,1,2,1,95,335.3,No
41.57,24,0,1,1,22,49.2,No
121.53,12,1,1,3,15,125.1,No
57.25,6,1,0,2,36,389.8,No
59.84,12,2,2,5,113,122.5,No
106.48,24,3,0,1,108,247.3,Yes
34.48,12,2,1,1,94,228.1,No
106.43,24,1,0,4,89,199.4,No
135.42,24,4,0,4,36,444.7,Yes
110.52,12,0,2,2,49,455.4,No
77.24,24,2,1,1,25,285.2,No
76.97,24,0,1,5,34,330.1,No
119.46,6,1,1,4,49,93.9,No
93.53,6,2,1,1,56,258.1,Yes
31.04,6,0,2,3,43,181.3,Yes
95.75,12,1,1,5,21,397.1,No
125.93,24,2,3,2,116,237.0,No
63.82,1,1,2,2,1,278.4,No
140.58,12,1,1,4,103,316.1,Yes
117.59,12,1,3,3,102,185.4,No
94.63,24,2,1,1,61,43.9,No
117.71,12,4,1,1,48,76.7,Yes
30.29,12,0,1,5,57,50.2,No
131.72,12,0,0,1,106,12.1,No
126.8,1,1,2,1,28,71.9,No
138.28,1,1,2,3,72,489.4,Yes
36.72,6,1,0,2,15,205.8,No
30.63,24,3,3,1,35,437.5,No
37.99,1,1,2,5,77,79.0,No
71.92,1,2,2,5,83,229.2,No
75.16,6,3,0,5,6,340.1,No
93.09,6,1,1,1,109,71.3,No
35.89,6,0,0,4,20,54.2,Yes
46.18,24,1,1,4,7,446.4,No
125.51,12,0,2,5,32,311.9,No
80.84,12,3,4,1,97,376.7,Yes
125.03,24,2,2,5,54,160.6,No
20.97,12,1,1,3,3,457.2,No
91.71,6,2,1,5,83,362.3,No
141.15,12,1,2,1,102,485.0,No
95.68,6,1,1,4,77,111.4,No
46.79,24,2,1,2,46,228.1,No
113.31,6,1,1,3,110,129.4,No
69.27,12,1,0,2,71,1.2,No
106.89,1,1,1,1,31,76.5,No
23.81,6,0,0,1,113,110.9,Yes
102.67,6,2,1,4,107,420.6,No
24.19,6,2,0,3,5,305.5,No
116.82,12,1,1,4,26,493.1,No
81.48,6,1,2,1,112,432.2,No
35.83,1,3,2,1,101,177.8,No
90.54,24,2,2,3,38,461.1,No
28.68,6,0,2,1,104,76.4,Yes
104.94,12,0,2,2,33,326.3,No
149.49,6,0,0,1,45,297.0,Yes
120.02,6,0,1,1,91,332.6,Yes
94.59,6,1,0,2,99,316.7,Yes
33.34,24,0,1,5,83,357.0,Yes
110.98,12,3,2,5,34,408.7,No
105.95,24,0,0,3,114,271.7,No
26.38,12,1,2,3,35,345.5,No
123.0,12,1,2,1,36,377.6,No
87.43,1,1,1,2,115,219.4,No
75.36,12,1,1,1,20,13.0,No
122.46,12,2,0,4,74,443.9,No
73.5,6,2,1,5,69,331.5,No
82.53,12,3,1,2,88,259.1,No
43.61,6,2,1,5,38,350.7,Yes
61.77,6,2,2,4,73,134.5,No
129.92,24,3,0,1,58,415.0,No
44.3,6,0,1,5,17,74.4,Yes
74.25,12,1,1,1,26,72.7,No
148.57,12,2,2,4,41,475.3,No
50.76,1,0,2,5,78,352.0,Yes
139.19,12,0,0,4,52,121.2,No
139.39,6,2,1,1,33,229.9,No
31.87,1,2,2,5,94,283.8,No
80.27,6,2,1,1,53,92.6,Yes
85.29,1,2,1,1,110,401.7,No
60.78,24,3,1,5,28,409.5,No
26.15,24,0,0,5,103,407.0,Yes
51.42,6,1,4,2,92,367.8,No
32.42,6,3,1,4,92,186.8,No
50.97,12,0,0,1,51,98.3,No
125.01,6,0,2,5,62,9.9,No
136.35,6,2,0,3,71,465.1,Yes
25.62,6,3,1,3,37,39.6,No
59.25,12,3,0,1,119,270.8,Yes
147.48,12,1,0,2,11,461.5,No
90.14,24,4,2,2,76,73.2,No
101.42,24,1,1,5,78,260.9,No
20.72,24,1,2,2,93,127.6,No
83.04,12,1,1,5,97,59.6,No
148.48,6,2,1,1,18,98.4,No
68.77,24,0,0,2,19,367.9,Yes
32.61,6,2,2,1,21,329.5,Yes
80.05,1,0,1,3,36,312.7,No
145.19,6,3,0,2,116,276.7,No
64.44,24,1,4,3,87,123.3,Yes
123.86,1,1,1,1,2,188.2,No
123.85,6,1,2,1,37,291.9,No
47.07,24,2,1,1,12,132.6,No
77.64,12,1,1,5,83,148.4,No
113.03,12,2,1,5,87,265.1,Yes
73.37,24,1,1,3,41,353.3,Yes
44.83,1,1,0,2,77,135.7,Yes
145.77,6,0,0,5,14,343.0,No
104.6,6,2,0,2,11,166.8,No
132.51,12,1,1,5,26,136.4,No
23.28,6,0,1,4,34,492.2,No
54.7,6,2,0,1,20,337.1,No
85.27,6,3,2,1,100,301.4,No
28.77,1,2,1,1,66,135.4,No
149.09,12,0,0,3,51,344.9,Yes
50.74,24,0,0,5,78,33.0,No
68.66,12,1,1,1,64,98.9,Yes
47.82,12,2,2,3,34,274.5,No
33.71,12,2,0,5,29,479.0,No
50.22,6,1,2,4,111,144.9,Yes
59.08,12,2,1,2,49,86.2,No
102.48,1,2,0,1,113,128.0,No
56.56,12,0,1,5,97,69.2,No
67.1,12,5,1,3,27,196.7,Yes
20.77,6,0,1,4,114,97.6,No
67.54,24,4,1,3,66,426.1,No
89.41,6,1,1,4,11,213.0,Yes
41.06,6,1,0,1,86,17.5,No
97.67,1,1,1,5,31,388.2,Yes
58.11,6,2,0,1,23,344.5,No
102.17,6,2,1,3,2,60.2,No
23.41,1,5,0,1,3,380.5,No
135.39,12,0,1,2,66,232.8,No
22.1,1,0,1,1,51,495.6,No
36.5,24,1,1,5,113,183.1,No
121.03,1,1,1,4,104,23.6,No
25.97,6,2,0,2,29,366.9,No
112.43,1,4,3,5,29,456.5,No
146.24,12,0,0,3,18,277.6,No
133.32,24,2,2,3,89,201.9,Yes
112.32,24,1,0,2,20,48.8,No
144.61,1,0,1,2,38,324.1,No
75.88,1,1,0,5,118,189.7,No
133.47,12,1,0,3,81,285.7,No
66.27,12,3,0,5,76,453.0,No
140.87,12,4,0,4,100,73.2,No
39.34,12,2,1,2,99,104.6,No
142.2,1,1,2,4,59,335.3,No
128.25,24,3,1,3,69,431.5,No
129.99,12,2,1,3,61,182.9,No
36.11,12,4,1,5,30,268.2,No
97.54,12,1,0,1,17,426.1,No
22.13,12,4,1,4,71,396.6,No
113.75,12,1,1,4,33,391.1,Yes
21.01,6,1,1,3,22,1.1,No
31.03,24,1,1,2,96,13.7,No
49.31,1,1,1,1,18,193.0,No
133.77,6,1,1,4,87,385.0,No
67.26,24,0,0,1,108,257.4,No
90.19,12,1,0,1,68,238.8,Yes
93.85,6,0,1,4,68,153.7,No
49.31,12,0,1,5,18,328.8,Yes
94.38,6,0,0,2,19,108.6,Yes
105.92,6,1,0,4,109,497.8,No
58.77,1,1,0,1,32,77.1,No
74.42,24,2,0,1,98,433.2,No
78.9,1,2,1,2,65,317.8,Yes
141.21,12,0,2,1,7,123.8,No
96.37,12,2,1,4,68,108.1,Yes
143.27,1,3,0,2,117,391.3,Yes
92.28,1,2,1,1,83,198.7,No
85.07,6,0,0,4,36,372.0,No
20.46,6,4,0,4,79,221.9,No
82.52,12,0,3,3,20,86.9,Yes
140.57,1,0,3,3,26,81.8,No
45.79,12,2,1,4,16,223.6,No
26.77,12,1,3,5,95,260.5,No
72.88,12,0,0,3,82,329.5,No
68.41,24,0,1,4,88,44.6,Yes
131.43,12,2,0,1,46,173.4,No
23.46,6,2,4,4,47,16.1,No
139.62,24,0,0,1,100,162.4,No
108.52,12,1,0,1,68,358.8,No
137.55,6,1,1,2,31,229.0,No
98.98,6,0,2,4,102,171.7,Yes
125.55,12,0,1,1,29,163.2,No
63.62,1,1,1,4,78,303.1,No
65.44,24,5,1,3,70,339.9,No
70.68,6,1,1,1,23,236.4,Yes
118.12,6,3,2,2,97,485.5,Yes
68.01,1,3,0,5,71,496.5,Yes
51.49,6,2,0,3,98,455.0,No
141.9,6,1,1,2,49,333.2,No
138.04,24,1,1,3,74,399.0,No
65.34,24,2,0,5,117,101.3,No
102.5,6,2,2,2,9,210.9,Yes
55.6,1,1,1,5,22,321.2,Yes
46.79,1,2,1,3,36,38.6,Yes
63.72,12,2,1,1,117,78.4,No
62.52,12,1,2,3,85,144.2,No
134.7,24,0,0,1,61,369.2,Yes
126.9,1,2,1,5,108,56.4,No
112.25,24,1,0,1,97,274.8,No
144.71,6,1,1,3,93,136.5,Yes
74.93,1,1,1,1,52,54.5,No
51.85,1,0,0,1,110,309.1,No
35.26,12,3,1,4,21,417.8,No
59.14,6,2,2,3,82,158.7,No
38.88,12,1,0,4,30,71.6,Yes
31.98,24,3,0,5,58,455.5,No
98.38,6,2,1,1,44,71.6,No
67.34,12,2,0,3,47,259.5,No
93.39,24,2,0,3,103,445.1,No
44.87,24,2,3,5,93,117.2,No
108.0,12,1,0,5,67,487.1,No
48.02,12,0,0,3,32,437.7,No
56.14,6,2,1,5,11,464.1,Yes
116.43,24,3,0,1,66,380.9,No
92.77,12,3,1,1,58,167.4,No
63.53,6,1,3,2,101,341.6,No
90.59,6,1,1,4,40,94.1,Yes
110.22,1,2,1,2,78,174.4,No
138.58,12,2,2,5,88,339.7,No
95.49,12,3,1,2,16,147.8,No
50.25,6,0,1,5,29,72.3,Yes
117.07,6,0,0,5,15,316.9,Yes
121.11,12,4,0,2,47,302.5,No
46.05,6,1,0,5,113,455.8,No
126.67,12,3,1,1,86,35.5,Yes
80.44,24,0,0,3,32,408.3,No
121.37,6,4,1,5,10,432.7,No
50.87,1,0,0,3,26,140.4,No
63.24,6,0,0,3,1,15.0,No
143.98,12,3,1,3,114,157.7,Yes
105.52,6,0,1,3,25,413.5,No
120.47,24,3,0,2,59,153.5,No
109.49,12,3,2,3,54,30.2,No
46.56,24,1,1,5,93,323.0,Yes
81.19,12,1,1,3,50,351.1,Yes
125.17,24,0,0,4,71,313.5,No
107.75,12,2,1,3,113,294.3,No
20.78,12,0,0,2,104,18.6,Yes
31.36,12,1,2,4,35,421.2,No
65.08,24,3,2,5,39,443.4,No
142.77,12,1,1,1,110,163.3,No
83.85,24,2,1,5,108,406.6,No
55.12,6,0,0,3,3,479.7,Yes
66.86,6,1,0,5,101,88.8,No
47.38,6,2,0,3,109,21.3,No
74.76,12,2,2,2,108,81.4,No
48.34,12,1,2,2,31,204.8,Yes
129.95,12,3,0,5,110,75.7,No
79.32,24,2,1,4,83,118.9,No
56.37,24,0,0,3,76,395.0,No
141.28,1,3,2,2,28,116.6,No
60.87,1,1,0,5,117,20.4,No
138.26,6,0,1,2,86,144.4,No
25.64,1,1,1,5,87,150.9,No
111.92,24,2,0,1,101,10.6,Yes
82.91,24,1,5,3,56,107.5,No
77.75,1,2,1,5,94,203.8,Yes
24.72,12,1,0,3,63,229.0,Yes
25.29,24,3,1,4,96,71.4,No
63.26,1,2,1,3,109,469.0,Yes
143.13,12,3,1,1,108,169.7,No
100.3,12,1,0,4,107,415.4,No
67.95,24,1,1,2,80,413.2,No
99.56,12,0,2,3,77,18.1,No
46.8,12,3,2,3,25,318.5,Yes
41.46,6,4,1,4,99,134.5,No
67.04,6,1,1,2,13,2.6,No
132.24,6,1,2,3,92,37.5,No
86.22,1,0,1,1,46,496.9,No
58.6,12,2,0,4,86,138.9,No
143.53,6,2,2,1,19,139.5,No
126.08,1,1,0,3,20,432.2,Yes
61.99,6,2,4,3,21,104.0,Yes
146.37,12,3,1,1,34,94.1,No
148.36,6,3,1,3,10,128.5,No
73.13,24,0,0,5,35,184.4,No
105.27,12,0,1,4,33,40.8,No
72.73,12,1,0,4,91,135.4,Yes
53.46,12,0,2,5,80,396.7,No
30.74,6,0,0,1,44,309.0,No
54.27,6,0,2,4,47,93.8,No
55.29,6,2,0,1,89,422.3,No
71.82,1,1,1,1,94,224.6,No
44.04,12,3,1,4,56,74.8,No
144.0,12,1,1,4,59,488.7,Yes
33.37,6,2,1,3,19,444.5,No
101.28,12,3,1,1,67,284.9,No
77.42,12,3,2,4,24,108.9,Yes
75.06,6,0,0,5,69,397.8,No
68.36,12,1,2,1,119,183.3,Yes
132.88,6,1,0,3,51,454.1,No
56.46,24,1,0,3,119,274.0,No
22.67,6,4,0,2,110,448.1,Yes
139.35,12,1,4,2,12,443.7,No
132.38,12,1,0,4,100,447.4,No
56.0,6,0,2,4,59,48.5,No
88.05,12,3,2,4,9,39.1,No
34.18,24,2,0,2,108,426.2,No
32.15,1,1,0,3,24,316.9,No
128.87,6,1,0,1,58,409.3,No
73.33,1,0,1,2,31,330.9,No
106.02,1,1,1,1,63,437.3,Yes
142.62,1,2,0,5,16,34.4,No
51.87,24,1,2,2,73,147.7,No
21.71,12,0,0,2,86,230.5,No
23.14,12,1,2,2,104,112.3,Yes
112.22,12,1,1,3,86,465.8,No
140.19,1,3,1,3,36,372.2,Yes
80.75,6,3,2,2,96,124.0,Yes
68.76,24,1,2,4,51,337.0,No
90.57,1,1,0,5,25,145.0,Yes
131.66,1,3,0,3,31,154.8,No
104.78,6,0,2,2,76,397.1,Yes
50.29,12,3,2,5,14,74.7,Yes
120.7,24,2,0,3,100,428.2,No
37.5,1,0,1,4,82,196.7,No
41.52,12,5,0,1,85,258.9,No
99.65,12,0,1,5,34,212.5,Yes
51.04,1,2,2,2,79,68.1,Yes
111.62,6,5,1,4,50,191.3,No
65.44,24,0,0,1,81,4.5,No
56.07,6,0,2,4,113,156.2,No
149.86,6,2,0,2,77,40.3,No
25.28,12,0,0,5,1,448.8,No
103.96,1,4,2,1,10,379.5,No
25.03,6,1,0,4,20,311.6,Yes
118.83,12,1,0,2,40,425.5,No
49.91,1,1,2,4,97,99.6,No
31.68,12,3,2,2,114,149.4,No
104.3,1,0,0,1,101,142.2,No
115.24,6,2,3,4,18,226.0,No
108.15,12,1,1,1,23,52.3,No
26.75,6,3,1,1,94,157.9,Yes
58.26,1,2,2,1,29,384.6,No
78.64,6,2,1,2,31,257.8,No
57.32,6,3,2,4,59,302.0,Yes
125.37,6,3,2,2,67,190.0,No
37.04,1,1,1,1,112,405.3,No
99.58,24,3,1,3,98,202.9,No
148.47,1,3,1,3,30,287.6,No
137.33,6,3,1,5,38,339.4,No
48.88,6,1,3,3,40,420.5,No
20.01,24,3,0,4,4,92.1,Yes
147.48,1,0,0,4,61,27.2,No
134.75,12,1,2,3,69,359.4,No
139.53,1,1,1,4,61,138.7,No
74.02,12,1,4,1,115,70.3,No
116.8,12,1,2,1,102,432.6,No
47.67,24,1,1,3,100,333.0,No
71.0,1,1,0,5,17,63.4,No
130.7,1,3,0,5,51,48.8,No
36.59,12,1,1,5,1,378.2,No
136.2,6,3,2,2,36,446.2,No
84.55,1,0,2,3,84,468.2,No
75.39,24,2,1,3,114,18.2,No
59.73,24,3,0,1,68,214.8,No
139.19,6,0,0,1,118,43.1,No
87.29,6,2,0,1,70,80.4,No
124.52,6,1,3,1,27,163.1,No
131.49,12,3,2,4,86,85.9,Yes
139.91,6,4,1,1,41,36.3,Yes
59.44,1,0,1,5,89,457.4,No
64.18,12,1,1,4,91,130.9,No
97.36,12,0,0,5,111,78.4,No
77.37,24,2,2,3,117,409.7,No
141.27,6,1,1,5,89,470.9,No
71.68,1,0,1,3,109,309.6,No
82.11,1,0,1,3,88,232.8,No
100.23,6,0,2,5,72,311.6,No
72.62,12,1,2,2,37,190.3,Yes
149.02,12,0,1,3,16,373.2,No
32.85,12,3,0,4,22,88.9,No
48.68,12,1,0,3,70,217.9,Yes
61.95,24,3,0,4,6,408.8,No
39.2,6,1,0,3,48,138.8,No
56.95,6,3,0,5,27,83.1,No
121.3,1,1,3,3,3,34.0,No
87.98,6,3,0,2,104,130.6,Yes
24.41,12,1,3,5,22,63.6,No
147.74,6,1,3,3,107,461.0,No
100.08,6,0,0,4,83,234.9,No
27.66,1,2,2,3,57,277.5,No
105.95,12,0,2,4,99,398.0,No
69.19,12,3,1,4,55,477.2,No
37.64,12,5,0,2,89,218.4,Yes
93.28,12,2,1,3,17,261.2,Yes
114.52,12,3,0,2,87,228.7,No
107.25,24,1,0,2,101,78.8,No
52.18,24,2,0,3,9,251.1,No
88.23,12,1,1,2,20,275.1,No
89.9,6,0,1,3,25,412.1,No
113.18,1,1,2,1,17,276.5,Yes
66.78,24,3,1,4,4,19.1,No
123.71,24,3,0,5,84,181.9,Yes
101.63,24,1,0,2,10,466.6,Yes
24.98,1,2,1,1,80,115.0,No
91.04,12,2,0,5,107,370.8,No
132.05,12,4,2,3,108,166.0,No
93.78,6,1,1,3,9,17.0,No
42.86,6,3,1,5,103,339.5,No
86.35,24,3,3,2,100,17.3,No
118.4,12,2,0,2,83,284.0,No
34.31,12,1,1,2,35,471.2,No
126.22,12,3,1,3,119,433.8,No
41.77,24,2,0,2,62,5.1,No
89.43,6,1,0,4,37,32.2,Yes
70.15,12,2,3,2,57,61.1,No
52.32,6,2,0,4,68,350.7,No
104.17,24,2,1,5,71,1.0,Yes
24.86,6,2,3,5,88,398.3,No
118.81,12,1,1,2,73,106.2,No
88.5,12,0,1,1,98,329.7,No
133.85,24,0,1,2,94,103.0,No
87.69,24,0,2,2,77,229.4,No
24.55,12,2,1,2,99,41.4,No
38.67,1,3,0,1,27,155.0,No
123.43,6,0,1,4,11,69.6,Yes
83.96,1,1,1,4,100,93.5,No
77.44,12,2,0,3,112,122.0,No
61.4,12,2,0,4,37,1.1,No
56.99,6,2,0,2,1,330.1,Yes
145.57,24,1,2,3,75,439.6,Yes
76.29,1,0,2,2,93,93.3,Yes
134.92,6,1,2,5,35,72.0,No
104.26,1,1,2,5,91,331.4,No
131.6,1,0,0,5,89,395.0,No
130.82,6,1,0,3,87,142.8,Yes
144.32,12,0,0,3,61,26.1,No
110.73,1,1,1,5,77,106.5,Yes
124.7,6,0,2,3,2,26.4,No
115.31,6,2,0,1,94,83.0,No
98.68,6,1,0,1,92,472.7,No
113.26,12,1,1,5,44,68.5,Yes
113.05,6,3,3,5,15,108.0,No
25.32,1,1,1,3,42,203.9,No
87.09,12,0,2,5,26,156.1,No
123.04,1,0,3,1,62,190.4,No
51.59,24,1,1,1,109,410.0,No
80.47,12,5,1,3,95,461.9,No
76.55,1,2,1,4,100,479.6,No
72.36,12,2,2,2,106,211.3,No
35.84,6,4,1,3,39,127.5,No
88.34,24,0,3,4,32,187.0,No
78.01,24,2,0,5,115,182.1,Yes
106.24,12,2,0,3,52,263.3,Yes
91.42,24,3,0,5,95,342.7,No
23.58,12,0,1,1,44,494.8,No
24.15,12,3,1,1,33,144.7,Yes
111.18,6,1,2,5,115,300.7,Yes
111.99,6,2,1,2,5,411.8,No
144.79,12,3,1,5,52,296.0,Yes
133.97,6,1,1,3,23,265.8,No
80.85,12,2,1,1,25,108.1,No
101.37,6,1,2,3,67,254.4,No
79.43,12,0,1,5,78,190.7,No
48.98,6,1,1,4,71,280.2,Yes
68.97,12,0,0,4,4,306.4,No
33.5,24,1,0,3,75,289.5,No
106.65,12,1,1,4,50,291.4,Yes
44.96,6,1,0,1,14,296.9,No
81.81,12,2,1,5,62,472.8,No
145.77,6,0,2,2,72,333.0,No
24.12,1,2,2,3,81,475.4,No
39.72,1,2,2,1,25,279.3,No
58.82,24,3,1,4,27,169.9,No
142.43,1,1,1,2,26,326.7,No
138.15,12,3,0,4,78,249.8,No
41.06,6,2,0,1,51,1.5,No
147.55,6,1,2,1,28,12.4,No
117.6,6,0,2,5,100,151.2,No
90.2,12,0,0,2,89,427.4,Yes
141.12,24,0,0,1,43,255.4,No
134.48,12,0,1,4,106,7.5,Yes
70.87,12,3,2,1,99,438.5,Yes
105.32,6,5,1,2,18,327.4,No
104.16,1,0,2,2,59,148.2,Yes
62.51,1,1,1,4,48,474.5,No
43.32,12,1,1,2,8,313.2,No
80.69,6,1,0,4,96,491.3,No
54.23,6,3,1,3,101,158.9,Yes
66.16,6,3,0,1,55,277.3,Yes
144.04,12,0,1,2,38,63.7,No
79.95,24,4,2,2,89,263.6,No
109.04,6,0,1,3,50,93.9,Yes
63.71,12,1,0,3,4,262.0,No
149.46,1,4,1,1,14,127.4,No
105.64,12,1,1,3,76,463.5,No
45.48,6,3,0,1,66,494.2,Yes
32.76,24,2,2,3,67,433.9,No
142.61,1,2,0,1,96,338.3,No
142.82,12,0,0,4,83,50.0,No
100.77,12,1,0,5,54,272.2,Yes
22.21,1,0,0,5,31,95.7,No
49.32,12,1,0,4,53,207.1,No
124.17,24,1,0,1,16,235.1,No
133.81,12,0,2,5,12,145.3,No
79.02,6,3,3,5,100,98.6,No
67.52,6,1,2,4,18,91.9,Yes
55.65,1,3,0,3,89,336.5,Yes
35.21,12,6,2,3,40,496.7,No
35.05,24,3,2,2,5,137.4,Yes
143.84,24,1,0,2,41,261.8,No
125.12,1,2,0,5,44,158.4,No
41.42,24,2,1,1,57,25.4,No
46.92,12,3,3,1,39,313.6,Yes
105.22,1,1,2,3,2,400.3,Yes
119.41,12,1,2,4,45,207.7,No
125.34,1,0,0,3,101,383.8,No
41.23,1,1,2,1,106,487.5,No
147.94,12,0,2,2,117,471.5,No
49.61,24,2,0,2,41,282.0,Yes
96.62,6,1,2,4,59,227.9,No
96.39,1,1,2,5,66,86.4,No
145.76,6,2,2,5,55,38.9,No
105.5,12,0,1,3,112,340.4,No
96.04,12,1,1,4,75,70.8,No
87.44,12,1,1,4,117,435.5,No
119.41,24,2,1,1,42,178.3,No
33.79,24,3,1,3,7,73.0,No
20.27,6,1,0,1,31,50.8,No
143.82,6,1,1,5,90,365.4,No
84.83,6,3,1,5,82,159.4,No
62.68,6,0,1,4,8,170.1,No
